CalendarDay2,Year,DistrictName,StateName,Country,StateCode,DistrictCode,TotalPopulation,Category of Population,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,Density,Category by Density,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_Percentage_LandArea,WeighingRatio_LandArea
03-05-2026,"Calendar Year (Jan - Dec), 2026",Mangan,Sikkim,India,11,226,44108,Sparsely Populated,4644,39464,24938,2456,22482,19170,2188,16982,8960,1054,7906,176,320960,321136,0.137349908,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Jaisalmer,Rajasthan,India,8,103,669919,Moderately Populated,89025,580894,361708,49261,312447,308211,39764,268447,117171,16744,100427,7038,3770000,3778474,0.177298825,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Uttarkashi,Uttarakhand,India,5,57,330086,Sparsely Populated,24305,305781,168597,13222,155375,161489,11083,150406,67602,5688,61914,2702,704189,706891,0.466954594,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Bijapur,Chhattisgarh,India,22,636,255230,Sparsely Populated,29600,225630,128663,15319,113344,126567,14281,112286,54757,6468,48289,8129,471806,479935,0.531801181,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Sukma,Chhattisgarh,India,22,642,271575,Sparsely Populated,28202,243373,134527,15111,119416,137048,13091,123957,60484,6179,54305,4481,453356,457837,0.593169622,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Chamba,Himachal Pradesh,India,2,16,519080,Moderately Populated,36108,482972,261320,19357,241963,257760,16751,241009,102460,7864,94596,2075,690354,692429,0.749650867,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Bikaner,Rajasthan,India,8,93,2364230,Densely Populated,800384,1563846,1240964,419367,821597,1123266,381017,742249,385009,139973,245036,19090,2850000,2865899,0.82495231,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Barmer,Rajasthan,India,8,90,1571756,Moderately Populated,181837,1389919,830265,95773,734492,741491,86064,655427,271000,32639,238361,6535,1810000,1814735,0.866107724,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Gyalshing,Sikkim,India,11,228,72725,Sparsely Populated,5248,67477,37716,2710,35006,35009,2538,32471,14534,1133,13401,372,75828,76200,0.954396325,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Chamoli,Uttarakhand,India,5,47,391605,Sparsely Populated,59396,332209,193991,33622,160369,197614,25774,171840,88964,14646,74318,3953,359350,363303,1.077901917,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Sheopur,Madhya Pradesh,India,23,431,690056,Moderately Populated,107352,582704,362969,56424,306545,327087,50928,276159,146442,20521,125921,4048,605920,609968,1.131298691,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
