srcYear,srcStateCode,srcStateName,srcDistrictCode,srcDistrictName,srcCalendarDay,Country,YearCode,Year,StateCode,StateName,DayCode,CalendarDay,DistrictCode,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
2026,1,JAMMU AND KASHMIR,1,ANANTNAG,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,1,ANANTNAG,1080511,282887,797624,560725,148755,411970,519786,134132,385654,153916,35992,117924,6053,67677.9,73730.89532470703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,10,POONCH,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,10,POONCH,478396,38630,439766,252707,22125,230582,225689,16505,209184,90630,7216,83414,2408,113254.7,115662.70001220703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,11,PULWAMA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,11,PULWAMA,560440,80462,479978,293064,44968,248096,267376,35494,231882,86241,10654,75587,3855,59732.242,63587.2421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,12,RAJOURI,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,12,RAJOURI,640854,52314,588540,344543,34603,309940,296311,17711,278600,130032,7756,122276,2189,248982.47,251171.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,13,SRINAGAR,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,13,SRINAGAR,1235010,1219516,15494,650166,642208,7958,584844,577308,7536,191402,188834,2568,1593,1288.2,2881.199951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,14,UDHAMPUR,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,14,UDHAMPUR,556091,108208,447883,297343,63810,233533,258748,44398,214350,99466,20353,79113,4372,234951.05,239323.04064941406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,2,BUDGAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,2,Budgam,743477,97912,645565,392773,54656,338117,350704,43256,307448,101953,13946,88007,4368,66273.33,70641.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,3,BARAMULLA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,3,BARAMULLA,1011629,182500,829129,536620,102334,434286,475009,80166,394843,153172,27289,125883,6356,97983.31,104339.31561279297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,4,DODA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,4,DODA,409936,32689,377247,213641,18211,195430,196295,14478,181817,79636,6719,72917,1975,134384.89,136359.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,5,JAMMU,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,5,JAMMU,1532068,765013,767055,814947,412218,402729,717121,352795,364326,314639,154908,159731,25213,219610.1,244823.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,620,KISHTWAR,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,620,KISHTWAR,230696,14865,215831,120165,8179,111986,110531,6686,103845,45209,2710,42499,63,164365.1,164428.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,621,RAMBAN,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,621,RAMBAN,283713,11811,271902,149132,6815,142317,134581,4996,129585,55490,2162,53328,1508,131396.42,132904.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,622,KULGAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,622,KULGAM,422579,80613,341966,216634,42046,174588,205945,38567,167378,73386,13806,59580,4957,35669.043,40626.04296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,623,BANDIPORA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,623,BANDIPORA,392232,65361,326871,207680,35417,172263,184552,29944,154608,58392,9598,48794,4963,29523.896,34486.896484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,624,SAMBA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,624,SAMBA,312807,53615,259192,165955,29759,136196,146852,23856,122996,64071,10667,53404,3876,84330.305,88206.3046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,625,SHOPIAN,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,625,SHOPIAN,268334,16360,251974,137581,9319,128262,130753,7041,123712,44691,2553,42138,540,30862.059,31402.057815551758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,626,GANDERBAL,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,626,GANDERBAL,299350,47039,252311,159706,25005,134701,139644,22034,117610,45703,6966,38737,2540,23824.803,26364.80352783203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,627,REASI,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,627,REASI,314667,26996,287671,166461,14980,151481,148206,12016,136190,56689,5030,51659,3901,167950.42,171851.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,1,JAMMU AND KASHMIR,7,KATHUA,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",1,JAMMU AND KASHMIR,20260503,2026-05-03,7,KATHUA,616435,89713,526722,326109,47983,278126,290326,41730,248596,119583,17932,101651,4242,239714,243956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
